orderNumber,shiftTime,shiftDay,ID,name,x,y,matrixPosition,milkPlanned,Factory,factoryPosition,startTimeWindow,endTimeWindow,vehicleLimit,,,,,
76042,Day,1,0,SUP_30,145.68155,-38.17779,5,6656,FAC_67,1,480,900,1,,,,,
76043,Day,1,2,SUP_32,145.764323,-38.09192,7,3890,FAC_67,1,390,900,1,,,,,
76044,Day,1,4,SUP_36,145.739267,-38.184967,9,5314,FAC_67,1,540,870,1,,,,,
76045,Day,1,5,SUP_37,145.900921,-38.199139,10,3639,FAC_67,1,540,960,1,,,,,
76046,Day,1,6,SUP_38,145.986239,-38.218241,11,4097,FAC_67,1,540,930,2,,,,,
76047,Day,1,7,SUP_39,145.954463,-38.197071,12,5128,FAC_67,1,540,930,1,,,,,
76048,Day,1,9,SUP_41,145.96377,-38.211185,14,1769,FAC_67,1,480,900,2,,,,,
76049,Day,1,11,SUP_44,145.770604,-38.340258,16,4731,FAC_67,1,630,990,1,,,,,
76050,Day,1,12,SUP_46,145.979005,-38.193793,17,3261,FAC_67,1,510,960,1,,,,,
76051,Day,1,14,SUP_51,146.051958,-38.12968,19,2378,FAC_67,1,480,900,1,,,,,
76052,Day,1,16,SUP_56,145.533465,-38.09496,21,5846,FAC_67,1,660,960,1,,,,,
76112,Day,1,21,SUP_66,145.933751,-38.045261,26,4375,FAC_67,1,480,900,2,,,,,
76053,Day,1,23,SUP_76,146.103897,-38.116834,28,7723,FAC_67,1,600,960,2,,,,,
76113,Day,1,24,SUP_78,145.774568,-38.136373,29,3070,FAC_67,1,480,900,1,,,,,
76054,Day,1,27,SUP_83,145.888985,-38.089505,32,2163,FAC_67,1,540,960,1,,,,,
76055,Day,1,28,SUP_85,145.910655,-38.196494,33,1402,FAC_67,1,510,930,1,,,,,
76056,Day,1,29,SUP_86,145.77224,-38.30429,34,8591,FAC_67,1,480,930,2,,,,,
76057,Day,1,30,SUP_89,146.117044,-38.213145,35,2735,FAC_67,1,660,960,2,,,,,
76058,Day,1,31,SUP_91,145.771286,-38.410772,36,5731,FAC_67,1,570,960,1,,,,,
76059,Day,1,32,SUP_92,145.766178,-38.391233,37,7156,FAC_67,1,540,960,1,,,,,
76060,Day,1,34,SUP_95,145.755421,-38.310184,39,23920,FAC_67,1,600,930,2,,,,,
76061,Day,1,35,SUP_98,145.652535,-38.209977,40,281,FAC_67,1,540,990,1,,,,,
76062,Day,1,36,SUP_101,145.808054,-38.043342,41,1911,FAC_67,1,510,960,1,,,,,
76063,Day,1,39,SUP_301,146.880936,-38.054694,44,6225,FAC_67,1,510,930,2,,,,,
76064,Day,1,41,SUP_320,146.977729,-38.054622,46,8400,FAC_67,1,510,930,2,,,,,
76065,Day,1,48,SUP_508,146.166045,-38.045164,53,4478,FAC_67,1,510,930,2,,,,,
76066,Day,1,50,SUP_510,146.164803,-38.029123,55,5599,FAC_67,1,480,900,2,,,,,
76067,Day,1,51,SUP_511,146.16728,-38.068286,56,3286,FAC_67,1,480,900,2,,,,,
76068,Day,1,52,SUP_512,146.142945,-38.058222,57,8846,FAC_67,1,720,1080,2,,,,,
76069,Day,1,53,SUP_513,146.138246,-37.974343,58,7390,FAC_67,1,540,870,1,,,,,
76114,Day,1,54,SUP_514,146.146723,-37.995501,59,4254,FAC_67,1,510,930,2,,,,,
76070,Day,1,58,SUP_9208,145.81107,-38.467688,63,6226,FAC_3,0,480,900,2,,,,,
76071,Day,1,59,SUP_9212,145.59125,-38.22413,64,4199,FAC_3,0,480,870,2,,,,,
76072,Day,1,60,SUP_9214,145.789962,-38.475747,65,4102,FAC_3,0,480,900,2,,,,,
76073,Day,1,61,SUP_9225,146.125597,-38.2079,66,4423,FAC_3,0,480,900,2,,,,,
76074,Day,1,63,SUP_9245,146.080328,-38.154331,68,2211,FAC_3,0,450,870,1,,,,,
76075,Day,1,65,SUP_9260,145.853653,-38.151087,70,6736,FAC_3,0,510,930,2,,,,,
76076,Day,1,69,SUP_9287,145.391359,-38.134294,74,13474,FAC_3,0,420,780,2,,,,,
76077,Day,1,73,SUP_9301,146.025403,-38.561187,78,5851,FAC_3,0,510,930,2,,,,,
76078,Day,1,74,SUP_9305,145.919705,-38.526875,79,2710,FAC_3,0,540,930,2,,,,,
76079,Day,1,77,SUP_9320,146.02896,-38.220386,82,1270,FAC_3,0,630,1020,2,,,,,
76080,Day,1,78,SUP_9321,145.966373,-38.238082,83,1924,FAC_3,0,540,960,2,,,,,
76081,Day,1,79,SUP_9322,145.986239,-38.218241,84,1874,FAC_3,0,630,960,2,,,,,
76082,Day,1,81,SUP_9331,146.008486,-38.569286,86,4776,FAC_3,0,540,960,2,,,,,
76083,Day,1,82,SUP_9339,145.972335,-38.24436,87,2960,FAC_3,0,480,930,1,,,,,
76084,Day,1,86,SUP_9440,146.087131,-38.177535,91,5174,FAC_3,0,540,960,1,,,,,
76085,Day,1,87,SUP_9441,146.08057,-38.150955,92,13374,FAC_3,0,720,1050,2,,,,,
76086,Day,1,88,SUP_9442,146.084004,-38.544893,93,10332,FAC_3,0,510,930,2,,,,,
76087,Day,1,89,SUP_9443,145.93881,-38.544085,94,6536,FAC_3,0,510,900,2,,,,,
76088,Day,1,90,SUP_9445,145.966721,-38.413568,95,8791,FAC_3,0,510,930,2,,,,,
76089,Day,1,91,SUP_9446,145.482371,-38.447282,96,5083,FAC_3,0,570,990,2,,,,,
76090,Day,1,95,SUP_9451,145.807095,-38.49078,100,16153,FAC_3,0,480,840,2,,,,,
76091,Day,1,98,SUP_9454,146.119892,-38.734429,103,10888,FAC_3,0,570,990,2,,,,,
76092,Day,1,108,SUP_12,145.966032,-38.064566,113,1683,FAC_67,1,450,900,1,,,,,
76093,Day,1,112,SUP_19,146.01117,-38.090235,117,1823,FAC_67,1,540,960,1,,,,,
76094,Day,1,113,SUP_20,145.783496,-38.181073,118,1081,FAC_67,1,420,720,1,,,,,
76095,Day,1,114,SUP_21,145.716058,-38.176896,119,4330,FAC_67,1,540,780,2,,,,,
76096,Day,1,116,SUP_106,145.720096,-38.192289,121,3789,FAC_67,1,510,960,2,,,,,
76097,Day,1,117,SUP_326,147.001505,-38.085501,122,5609,FAC_67,1,510,930,2,,,,,
76098,Day,1,118,SUP_108,146.231845,-38.14262,123,6828,FAC_67,1,510,930,2,,,,,
76099,Day,1,119,SUP_109,145.735021,-38.206469,124,1765,FAC_67,1,570,990,2,,,,,
76100,Day,1,120,SUP_107,145.777347,-38.188267,125,1488,FAC_67,1,360,390,2,,,,,
76101,Day,1,121,SUP_103,146.084898,-38.213055,126,3268,FAC_67,1,480,900,1,,,,,
76102,Day,1,123,SUP_332,146.758343,-37.997136,128,6096,FAC_67,1,510,930,2,,,,,
76103,Day,1,125,SUP_111,145.765651,-38.042492,130,1905,FAC_67,1,600,960,1,,,,,
76104,Day,1,130,SUP_114,145.827287,-38.076158,135,1912,FAC_67,1,570,960,2,,,,,
76105,Day,1,131,SUP_115,145.868056,-38.176379,136,3020,FAC_67,1,540,900,1,,,,,
76106,Day,1,132,SUP_116,145.790087,-38.360245,137,4438,FAC_67,1,570,960,1,,,,,
76107,Day,1,133,SUP_401,145.915505,-38.54357,138,6792,FAC_67,1,480,900,2,,,,,
76108,Day,1,136,SUP_119,145.801187,-38.326725,141,4638,FAC_67,1,420,960,2,,,,,
76109,Day,1,137,SUP_120,145.716058,-38.176896,142,3667,FAC_67,1,540,900,1,,,,,
76110,Day,1,138,SUP_402,146.069132,-38.515127,143,4645,FAC_67,1,600,960,1,,,,,
