orderNumber,shiftTime,shiftDay,ID,name,x,y,matrixPosition,milkPlanned,Factory,factoryPosition,startTimeWindow,endTimeWindow,vehicleLimit,,,
76115,Night,1,1,SUP_31,145.879088,-38.218584,6,23877,FAC_67,1,360,1020,2,,,
76116,Night,1,2,SUP_32,145.764323,-38.09192,7,3183,FAC_67,1,360,900,1,,,
76117,Night,1,3,SUP_33,145.638376,-38.121482,8,1352,FAC_67,1,390,1050,1,,,
76118,Night,1,10,SUP_42,145.628945,-38.16656,15,2311,FAC_67,1,450,1080,2,,,
76119,Night,1,15,SUP_54,145.571125,-38.07698,20,1197,FAC_67,1,390,1050,1,,,
76120,Night,1,16,SUP_56,145.533465,-38.09496,21,3984,FAC_67,1,420,1080,1,,,
76121,Night,1,22,SUP_68,146.03113,-38.186028,27,1646,FAC_67,1,540,1080,1,,,
76122,Night,1,25,SUP_79,145.530286,-38.146655,30,1799,FAC_67,1,480,1080,1,,,
76123,Night,1,27,SUP_83,145.888985,-38.089505,32,2423,FAC_67,1,420,1050,1,,,
76124,Night,1,29,SUP_86,145.77224,-38.30429,34,6535,FAC_67,1,360,1050,2,,,
76125,Night,1,38,SUP_105,145.875465,-38.162349,43,1994,FAC_67,1,420,1080,1,,,
76126,Night,1,42,SUP_500,146.379813,-38.136398,47,11149,FAC_67,1,360,1020,1,,,
76127,Night,1,43,SUP_502,146.252467,-38.101588,48,1724,FAC_67,1,450,1079,1,,,
76128,Night,1,44,SUP_504,146.176134,-38.109882,49,4284,FAC_67,1,420,1020,2,,,
76129,Night,1,45,SUP_505,146.181921,-38.0938,50,2102,FAC_67,1,360,1020,1,,,
76130,Night,1,46,SUP_506,146.176134,-38.109882,51,2973,FAC_67,1,420,1020,2,,,
76131,Night,1,49,SUP_509,146.258455,-38.093339,54,3818,FAC_67,1,390,1050,1,,,
76132,Night,1,51,SUP_511,146.16728,-38.068286,56,2878,FAC_67,1,360,1020,2,,,
76133,Night,1,55,SUP_515,146.254752,-38.113763,60,5217,FAC_67,1,420,1080,1,,,
76134,Night,1,56,SUP_9199,145.58537,-38.093463,61,7559,FAC_3,0,360,1020,2,,,
76135,Night,1,57,SUP_9207,145.971135,-37.995451,62,2541,FAC_3,0,510,1050,1,,,
76136,Night,1,62,SUP_9240,146.002196,-37.959192,67,7000,FAC_3,0,390,1050,1,,,
76137,Night,1,66,SUP_9265,145.985983,-38.151122,71,7348,FAC_3,0,390,1050,2,,,
76138,Night,1,67,SUP_9270,145.944473,-37.982403,72,2556,FAC_3,0,420,1080,1,,,
76139,Night,1,68,SUP_9285,146.006184,-37.928793,73,9637,FAC_3,0,420,1050,2,,,
76140,Night,1,72,SUP_9295,145.777712,-38.038042,77,6608,FAC_3,0,360,780,2,,,
76141,Night,1,80,SUP_9324,146.017471,-38.093534,85,6527,FAC_3,0,390,1050,2,,,
76142,Night,1,93,SUP_9449,145.91042,-38.027152,98,6358,FAC_3,0,360,960,2,,,
76143,Night,1,97,SUP_9453,145.995302,-37.922536,102,5326,FAC_3,0,480,1050,1,,,
76144,Night,1,99,SUP_9456,146.782998,-38.066436,104,5318,FAC_3,0,360,1020,2,,,
76145,Night,1,100,SUP_9457,146.745659,-38.019455,105,8384,FAC_3,0,360,1020,2,,,
76146,Night,1,101,SUP_9458,146.852564,-38.031833,106,8098,FAC_3,0,360,1020,2,,,
76147,Night,1,102,SUP_9577,145.746824,-38.207537,107,14854,FAC_3,0,420,1080,2,,,
76148,Night,1,103,SUP_20444,145.586954,-38.117429,108,13311,FAC_68,2,450,990,2,,,
76149,Night,1,104,SUP_20445,145.535855,-38.21391,109,19838,FAC_68,2,360,1020,2,,,
76150,Night,1,105,SUP_20446,145.536955,-38.28345,110,6187,FAC_68,2,390,1050,2,,,
76151,Night,1,106,SUP_20447,145.798283,-38.050649,111,19040,FAC_68,2,420,1020,2,,,
76152,Night,1,107,SUP_4,145.864164,-38.21961,112,4583,FAC_67,1,390,1050,1,,,
76153,Night,1,109,SUP_15,145.535552,-37.88475,114,4099,FAC_67,1,390,1050,1,,,
76154,Night,1,110,SUP_16,145.517576,-37.896841,115,455,FAC_67,1,390,1050,1,,,
76155,Night,1,111,SUP_17,145.87016,-38.203385,116,4650,FAC_67,1,420,1080,2,,,
76156,Night,1,122,SUP_9455,145.95601,-37.95382,127,2688,FAC_3,0,420,960,1,,,
76157,Night,1,124,SUP_110,145.726021,-38.303606,129,7607,FAC_67,1,420,1079,2,,,
76158,Night,1,127,SUP_9254,145.995533,-37.917983,132,5511,FAC_3,0,420,1050,2,,,
76280,Night,1,92,SUP_9447,146.89881,-38.11672,97,4830,FAC_3,0,390,1050,2,,,
